2
ABEAS CORPUS Nº 18.641 - SP (2001⁄0118732-0)
AÇÃO PENAL Nº 128 - DF (1997⁄0085092-7)
AÇÃO PENAL Nº 128 - DISTRITO FEDERAL  (1997⁄0085092-7)
AÇÃO PENAL Nº 130 - DISTRITO FEDERAL  (1997⁄0088624-7)
AÇÃO PENAL Nº 148 - DF (1999⁄0064902-8)
AÇÃO PENAL Nº 153 - RO (1999⁄0081472-0)
AÇÃO PENAL Nº 157 - PE (1999⁄0089889-3)
AÇÃO PENAL Nº 159 - MT (1999⁄0101065-9)
AÇÃO PENAL Nº 161 - SP (1999⁄0103070-6)
AÇÃO PENAL Nº 165 - DF (2000⁄0011088-4)
AÇÃO PENAL Nº 168 - AC (2000⁄0057942-4)
AÇÃO PENAL Nº 171 - AM (2000⁄0093464-0)
AÇÃO PENAL Nº 189 - RS (2001⁄0082589-6)
AÇÃO PENAL Nº 197 - PI (2001⁄0122133-5)
AÇÃO PENAL Nº 94 - DISTRITO FEDERAL  (1995⁄0022969-2)
AÇÃO RESCISÓRIA 1.176 - RN  (1999⁄0097793-9)
AÇÃO RESCISÓRIA 1.207 – RN (1999⁄0110132-8)
AÇÃO RESCISÓRIA 1.301 - PB (2000⁄0033706-4)
AÇÃO RESCISORIA 1.338 - SP (2000⁄0055619-0)
AÇÃO RESCISÓRIA 797 - SP (1998⁄0055774-1)
AÇÃO RESCISORIA 823 - SP (98⁄0078009-2)
AÇÃO RESCISÓRIA Nº 1.014 - PB (1999⁄0059728-1)
AÇÃO RESCISÓRIA Nº 1.017 - PB (1999⁄0059731-1)
AÇÃO RESCISÓRIA Nº 1019 - PB (1999⁄0059733-8)
AÇÃO RESCISÓRIA Nº 1.020 - PB (1999⁄0059734-6)
AÇÃO RESCISÓRIA Nº 1.025 - RN (1999⁄0061232-9)
AÇÃO RESCISÓRIA Nº 1.027 - SP (1999⁄0061913-7)
AÇÃO RESCISÓRIA Nº 1.029 - RN (1999⁄0062078-0)
AÇÃO RESCISÓRIA Nº 1.038 - PB (1999⁄0063385-7)
AÇÃO RESCISÓRIA Nº 1.048 - PARAÍBA (1999⁄0063396-2)
AÇÃO RESCISÓRIA Nº 1.062 - SP (1999⁄0063945-6)
